Individual,Site,Species,Temp,Light,Date,CT_batch,CT_tube,CT_min_start_t,CT_min,CT_max_start_t,CT_max,Notes
F74.3_LV_S_B1,B1,dodg,LV,S,6/23/2016,1,r01,1118,4.23,16:50,48.78,
F48.2_HV_S_A1,A1,dodg,HV,S,6/23/2016,1,r02,1118,3.72,16:50,49.07,
F42.4_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r03,1118,4.27,16:50,53.8,
F57A.1_LV_S_B1,B1,dodg,LV,S,6/23/2016,1,r04,1118,4.63,16:50,50.11,
F11.9_LV_L_C1,C1,dodg,LV,L,6/23/2016,1,r05,1118,1.34,16:50,53.8,
F75.8_LV_L_C1,C1,dodg,LV,L,6/23/2016,1,r06,1118,3.78,16:50,48.88,
F42.6_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r07,1118,3.52,16:50,49.4,
F21.1_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r08,1118,5.56,16:50,41,
F5.3_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r09,1118,2.85,16:50,52.1,
F42.7_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r10,1118,4.97,16:50,48.79,
FX1.1_LV_L_C1,C1,dodg,LV,L,6/23/2016,1,r11,1118,4.31,16:50,48.95,
F57A.2_LV_S_B1,B1,dodg,LV,S,6/23/2016,1,r12,1118,5.98,16:50,48.86,
F4.3_HV_S_A1,A1,dodg,HV,S,6/23/2016,1,r13,1118,12.35,16:50,,Died during 40C acclimation
F42.5_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r14,1118,3.48,16:50,48.9,
F4.4_HV_S_A1,A1,dodg,HV,S,6/23/2016,1,r15,1118,2.12,16:50,49.04,
F11.13_LV_L_C1,C1,dodg,LV,L,6/23/2016,1,r16,1118,1.84,16:50,53.2,
F01B.1_LV_L_C1,C1,dodg,LV,L,6/23/2016,1,r17,1118,2.27,16:50,52.7,
F4.7_HV_S_A1,A1,dodg,HV,S,6/23/2016,1,r18,1118,4.02,16:50,53.8,
F42.2_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r19,1118,0.05,16:50,53.8,
F48.4_HV_S_A1,A1,dodg,HV,S,6/23/2016,1,r20,1118,1.5,16:50,53.8,
FX1.9_LV_L_C1,C1,dodg,LV,L,6/23/2016,1,r21,1118,1.38,16:50,49.05,
F57A.6_LV_S_B1,B1,dodg,LV,S,6/23/2016,1,r22,1118,2.57,16:50,49.03,
F48.6_HV_S_A1,A1,dodg,HV,S,6/23/2016,1,r23,1118,5.29,16:50,48.69,
F42.9_HV_L_A1,A1,dodg,HV,L,6/23/2016,1,r24,1118,2.05,16:50,48.92,
