,Individual_ID,Site,Fem_ID,ID.treat,Species,sex,Treatment,Date_2,Mass_2,Notes_2,Date_3,Mass_3,Notes_3,Date_4,Mass_4,Notes_4,Date_5,Femur_5,Mass_5,Date_5.,Femur_5.,Mass_5.,Date_Adult,Mass_Adult,Femur_Adult,pre,Missing_legs,Date_Adult.,Mass_Adult.,Femur_Adult.,Date_dead,Pod_ID,Date_Hatch,HD_2,HD_3,HD_4,HD_5,HD_5.,HD_Adult,HD_Adult.,J1,J3,J4,J5,JA
1,A1_F16.1,A1,F16,A1F16.1.24L,dodg,f,24L,0015-05-04,0.0478,NA,0015-05-06,0.0571,NA,0015-05-12,0.0853,NA,0015-05-21,NA,0.2334,NA,NA,NA,0015-06-01,0.3608,12.23,NA,NA,NA,NA,NA,NA,A1_F16_dodgei_24L,0015-04-22,12,14,20,29,NA,40,NA,112,126,132,141,152
2,A1_F16.2,A1,F16,A1F16.2.24L,dodg,m,24L,0015-05-04,0.0442,2nd,0015-05-08,0.0705,NA,0015-05-18,0.1445,NA,0015-05-27,NA,0.1823,NA,NA,NA,0015-06-01,0.2138,9.23,NA,NA,NA,NA,NA,NA,A1_F16_dodgei_24L,0015-04-22,12,16,26,35,NA,40,NA,112,128,138,147,152
3,A1_F16.3,A1,F16,A1F16.3.24L,dodg,m,24L,0015-05-04,0.0451,2nd,0015-05-08,0.069,NA,0015-05-18,0.1307,NA,0015-05-28,NA,0.2122,NA,NA,NA,0015-06-01,0.2376,9.48,NA,NA,NA,NA,NA,NA,A1_F16_dodgei_24L,0015-04-22,12,16,26,36,NA,40,NA,112,128,138,148,152
4,B1_F14.1,B1,F14,B1F14.1.24L,dodg,m,24L,0015-05-04,0.0381,NA,0015-05-06,0.0371,NA,0015-05-14,0.0912,NA,0015-05-21,NA,0.1226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/26/15,B1_F14_dodgei_24L,0015-04-23,11,13,21,28,NA,NA,NA,113,126,134,141,NA
5,B1_F14.2,B1,F14,B1F14.2.24L,dodg,f,24L,0015-05-04,0.0439,NA,0015-05-06,0.0617,NA,0015-05-12,0.0862,NA,0015-05-21,NA,0.2203,NA,NA,NA,0015-06-02,0.4183,11.58,NA,NA,NA,NA,NA,NA,B1_F14_dodgei_24L,0015-04-23,11,13,19,28,NA,40,NA,113,126,132,141,153
6,B1_F14.3,B1,F14,B1F14.3.24L,dodg,m,24L,0015-05-04,0.0385,NA,0015-05-06,0.0517,NA,0015-05-12,0.0791,NA,NA,NA,NA,NA,NA,NA,0015-06-02,0.1866,9.53,NA,NA,NA,NA,NA,NA,B1_F14_dodgei_24L,0015-04-23,11,13,19,NA,NA,40,NA,113,126,132,NA,153
7,B1_F14.4,B1,F14,B1F14.4.24L,dodg,m,24L,0015-05-04,0.0321,2nd,0015-05-08,0.0502,NA,0015-05-23,0.1661,NA,NA,NA,NA,NA,NA,NA,0015-06-01,0.2488,8.89,NA,NA,NA,NA,NA,NA,B1_F14_dodgei_24L,0015-04-23,11,15,30,NA,NA,39,NA,113,128,143,NA,152
8,B1_F14.5,B1,F14,B1F14.5.24L,dodg,NA,24L,0015-05-04,0.0447,NA,0015-05-06,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead 8 May 2015,B1_F14_dodgei_24L,0015-04-23,11,13,NA,NA,NA,NA,NA,113,126,NA,NA,NA
9,B1_F14.6,B1,F14,B1F14.6.24L,dodg,f,24L,0015-05-04,0.0403,NA,0015-05-06,0.0498,NA,0015-05-12,0.0668,NA,0015-05-21,NA,0.2038,NA,NA,NA,0015-06-01,0.285,11.97,NA,NA,NA,NA,NA,NA,B1_F14_dodgei_24L,0015-04-23,11,13,19,28,NA,39,NA,113,126,132,141,152
10,B1_F14.7,B1,F14,B1F14.7.24L,dodg,f,24L,0015-05-04,0.0384,NA,0015-05-06,0.0499,NA,0015-05-14,0.1,NA,0015-05-21,NA,0.1717,NA,NA,NA,0015-06-02,0.4122,11.92,NA,NA,NA,NA,NA,NA,B1_F14_dodgei_24L,0015-04-23,11,13,21,28,NA,40,NA,113,126,134,141,153
11,B1_F14.8,B1,F14,B1F14.8.24L,dodg,f,24L,0015-05-04,0.0443,NA,0015-05-06,0.0627,NA,0015-05-12,0.089,NA,0015-05-20,NA,0.1789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/28/15,B1_F14_dodgei_24L,0015-04-23,11,13,19,27,NA,NA,NA,113,126,132,140,NA
