DATE,,,,,,4/7/2016,4/7/2016,4/8/2016,4/8/2016,4/9/2016,4/9/2016,4/10/2016,4/10/2016,4/11/2016,4/11/2016,4/12/2016,4/12/2016,4/13/2016,4/13/2016,4/14/2016,4/14/2016,4/15/2016,4/15/2016,4/16/2016,4/16/2016,4/17/2016,4/17/2016,4/18/2016,4/18/2016,4/19/2016,4/19/2016,4/20/2016,4/20/2016,4/27/2016,4/27/2016,4/28/2016,4/28/2016
Egg pod ID,Species,Temp (C),Daylength,Site,Notes,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead
F74_LV_S_dodg_B1,dodg,LV,S,B1,,9,0,12,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FD1_LV_S_dodg_C1,dodg,LV,S,C1,,12,0,16,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F75_LV_L_dodg_C1,dodg,LV,L,C1,,13,0,14,0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
F82_LV_L_dodg_C1,dodg,LV,L,C1,,10,0,15,0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,
F72_HV_S_dodg_B1,dodg,HV,S,B1,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F11_HV_S_dodg_B1,dodg,HV,S,B1,,12,0,12,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1_HV_S_dodg_C1,dodg,HV,S,C1,,9,0,16,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F84_HV_S_dodg_C1,dodg,HV,S,C1,,11,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F73_HV_L_dodg_B1,dodg,HV,L,B1,,,,9,0,8,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,
FZ1_HV_L_dodg_C1,dodg,HV,L,C1,,,,11,0,10,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,
FX1_LV_L_dodg_C1,dodg,LV,L,C1,,,,13,0,13,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,
F01B_LV_L_dodg_C1,dodg,LV,L,C1,Duplicate,,,12,0,12,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,
F75_LV_L_dodg_B1,dodg,LV,L,B1,,,,9,0,9,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,
FA1_LV_S_dodg_C1,dodg,LV,S,C1,,,,11,0,9,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,
F4_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,4,0,6,1,6,1,,,,,,,,,,,,,,,,,,,,,,
F45B_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,1,1,10,1,11,1,,,,,,,,,,,,,,,,,,,,,,
F14_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,5,1,5,2,3,1,,,,,,,,,,,,,,,,,,,,,,
F10_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,4,0,6,1,5,1,,,,,,,,,,,,,,,,,,,,,,
F15_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,4,1,7,1,8,1,,,,,,,,,,,,,,,,,,,,,,
F22_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,4,1,5,0,6,0,,,,,,,,,,,,,,,,,,,,,,
F7_HV_S_dodg_B1,dodg,HV,S,B1,,,,,,,,6,0,7,0,8,1,,,6,3,,,,,,,,,,,,,,,,
F48_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,7,0,7,0,8,0,,,,,,,,,,,,,,,,,,,,
