Individual,CCode,Female,Site,Species,sex,Temp,Light,Transfer_Notes,Date_Hatch,Date_1st,Mass_1st,Notes_1st,Date_2nd,Mass_2nd,Notes_2nd,Date_3rd,Mass_3rd,Notes_3rd,Date_4th,Mass_4th,Notes_4th,Date_5th,Mass_5th,Notes_5th,Date_5th+,Mass_5th+,Notes_5th+,Date_Adult,Mass_Adult,Femur_Adult,Pronotum_Adult,Notes_Adult,Euthanized,Date_Death,Death_Instar,Notes_Death,Ovarioles,Note_Dissection,Cleaned
FY1.1_HV_S_C1,WR,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0237,,4/26/2016,0.0774,,5/3/2016,0.1048,,,,,,,,,,,5/16/2016,5,,,,X
FY1.2_HV_S_C1,WY,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0259,,4/25/2016,0.0776,,5/2/2016,0.1029,,,,,,,,,,,5/4/2016,5,,,,X
FY1.3_HV_S_C1,WB,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0266,,4/25/2016,0.0642,,5/2/2016,0.1701,,,,,5/10/2016,0.323,11.27,4.8,,,6/3/2016,A,,,,X
FY1.4_HV_S_C1,WO,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0259,,4/25/2016,0.0613,,5/3/2016,0.1808,,,,,5/13/2016,0.281,10.75,4.45,,,6/29/2016,A,,,,X
FY1.5_HV_S_C1,,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0251,,4/25/2016,0.0701,,,,,,,,,,,,,,5/2/2016,4,,,,X
FY1.6_HV_S_C1,WG,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,4/19/2016,0.0254,,4/21/2016,0.0441,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/2016,0.0643,,5/3/2016,0.1851,,,,,5/14/2016,0.3453,11.55,4.66,found as adult missing molt,,5/23/2016,A,Sex uncertain when reexamined during cleaning,,,X
FY1.7_HV_S_C1,WP,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,4/19/2016,0.026,,4/25/2016,0.081,,5/2/2016,0.1442,,5/9/2016,0.2508,"not adult, shifted left",,,,5/10/2016,0.2891,11.31,4.37,,,6/21/2016,A,,,,X
FY1.8_HV_S_C1,GrR,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0245,,4/25/2016,0.0581,,5/2/2016,0.1291,,,,,5/11/2016,0.2129,9.56,4.27,,,5/16/2016,A,,,,X
FY1.9_HV_S_C1,GrY,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0301,,4/24/2016,0.0696,,4/30/2016,0.1835,,,,,5/10/2016,0.2942,11.5,5.03,,,6/30/2016,A,,,,X
FY1.10_HV_S_C1,GrB,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,4/19/2016,0.0234,,4/21/2016,0.0426,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/2016,0.0696,,5/2/2016,0.0934,,,,,5/12/2016,0.1874,10.4,3.63,,,6/21/2016,A,,,,X
FY1.11_HV_S_C1,,FY1,C1,dodg,,HV,S,,4/7/2016,,,,4/19/2016,0.011,,4/21/2016,0.0101,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,,,,,,,,,,,,,,,,4/23/2016,3,,,,
FY1.12_HV_S_C1,GrO,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,4/19/2016,0.0195,,4/21/2016,0.0333,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/2016,0.0465,,5/3/2016,0.0891,,,,,5/13/2016,0.1567,10.38,3.34,,,6/27/2016,A,,,,X
FY1.13_HV_S_C1,GrG,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0254,,4/25/2016,0.0699,,4/30/2016,0.1436,,,,,5/10/2016,0.2028,9.81,4.88,,,6/3/2016,A,,,,X
FY1.14_HV_S_C1,,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0092,,,,,,,,,,,,,,,,,4/30/2016,3,,,,X
FY1.15_HV_S_C1,GrP,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,4/19/2016,0.0258,,4/21/2016,0.0521,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/2016,0.0825,,5/3/2016,0.1891,,,,,5/14/2016,0.3538,11.38,4.7,found as adult missing molt,,6/13/2016,A,,,,X
FY1.16_HV_S_C1,RY,FY1,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0262,,4/25/2016,0.0695,,5/2/2016,0.1746,,,,,5/11/2016,0.3302,11.7,4.83,,,6/8/12016,A,,,,X
FY1.17_HV_S_C1,RB,FY1,C1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0256,,4/27/2016,0.0793,,5/2/2016,0.1146,,,,,5/11/2016,0.2016,9.73,4.1,,,5/14/2016,A,crushed,,,X
F11.1_HV_S_B1,WR,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0481,,4/25/2016,0.075,,,,,,,,,,,,,,,4,,,,X
F11.2_HV_S_B1,WY,F11,B1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0308,,4/25/2016,0.0587,,,,,,,,,,,,,,,4,,,,X
F11.3_HV_S_B1,WB,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0434,,4/25/2016,0.0862,,5/2/2016,0.2085,,,,,5/11/2016,0.3082,13.76,4.91,,,5/24/2016,A,,,,X
F11.4_HV_S_B1,WO,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.429,,4/25/2016,0.0996,,5/2/2016,0.1701,,,,,5/12/2016,0.401,12.74,5.02,,,6/17/2016,A,,,,X
F11.5_HV_S_B1,,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.419,,4/25/2016,0.1019,,4/30/2016,0.1512,,,,,,,,,,,5/10/2016,5,,,,X
F11.6_HV_S_B1,WG,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.437,,4/24/2016,0.0671,,5/2/2016,0.1637,,,,,5/11/2016,0.4198,12.09,4.81,,,,A,Unknown death date,,,X
F11.7_HV_S_B1,WP,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0482,,4/24/2016,0.0926,,5/2/2016,0.2483,,,,,5/9/2016,0.2939,11.41,4.93,,,6/3/2016,A,,,,X
F11.8_HV_S_B1,GrR,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0327,,4/25/2016,0.096,,5/2/2016,0.1919,,,,,5/11/2016,0.2765,11.55,4.15,,,6/15/2016,A,,20,frozen at dissection. Practice,X
F11.9_HV_S_B1,GrY,F11,B1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0452,,4/24/2016,0.0788,,5/11/2016,0.287,looks like an adult,,,,5/14/2016,0.2883,11.61,4.27,found as adult with no molt,,,A,Unknown,,,X
F11.10_HV_S_B1,GrB,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0324,,4/26/2016,0.0938,,,,,,,,5/13/2016,0.507,12.57,4.73,,,6/11/2016,A,,,,X
F11.11_HV_S_B1,,F11,B1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0372,,4/25/2016,0.0888,,,,,,,,,,,,,,4/26/2016,4,,,,X
F11.12_HV_S_B1,GrO,F11,B1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0429,,4/25/2016,0.0727,,5/2/2016,0.1018,,,,,,,,,,,5/5/2016,4,,,,X
F11.13_HV_S_B1,GrG,F11,B1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0426,,4/24/2016,0.0667,,5/2/2016,0.1488,,,,,5/11/2016,0.2498,11.24,4.34,,,,A,Unknown date,,,X
F11.14_HV_S_B1,GrP,F11,B1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0378,,4/24/2016,0.0659,,4/30/2016,0.1505,,,,,5/9/2016,0.2179,10.75,4.35,,,6/22/2016,A,,,,X
F11.15_HV_S_B1,RY,F11,B1,dodg,M,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0376,,,,,,,,,,,,,,,,,5/5/2016,4,"4th at death, may have missed a molt",,,X
F84.1_HV_S_C1,WR,F84,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.054,,4/23/2016,0.0709,,5/2/2016,0.2351,,,,,,,,,,,5/11/2016,A,died while molting to adult,,,X
F84.2_HV_S_C1,WY,F84,C1,dodg,F,HV,S,,4/7/2016,,,,,,,4/19/2016,0.0411,,4/24/2016,0.0823,,5/2/2016,0.2199,,,,,5/11/2016,0.4377,11.92,4.88,,,6/13/2016,A,,,,X
