Dead (X),Individual ID (EGGPOD#.HATCHING#_TEMP_LIGHT_SPECIES_SITE),CCode,Site,Species,sex,Temp (HV/LV),Light (L/S),Notes,Date 2nd,2nd Mass (g),Notes 2nd,Date 3rd,3rd Mass (g),Notes 3rd,Date 4th,4th Mass (g),Notes 4th,Date 5th,5th Mass (g),Notes 5th,Date 5th+,5th+ Mass (g),Notes 5th +,Date Adult,Adult Mass (g),Adult Femur Length (mm),Adult Pronotum Length (mm),Notes A,Death date,Death Note,
X,F28.1_HV_L_dodg_C1,,C1,dodg,M,HV,L,,,,,,,,,,,,,,,,,,,,,,,,
X,FY1.1_HV_S_dodg_C1,WR,C1,dodg,,HV,S,,,,,4/19/16,0.0237,,4/26/16,0.0774,,5/3/16,0.1048,,,,,,,,,,5/16/16,,
,FY1.2_HV_S_dodg_C1,WY,C1,dodg,,HV,S,,,,,4/19/16,0.0259,,4/25/16,0.0776,,5/2/16,0.1029,,,,,,,,,,5/4/16,,
X,FY1.3_HV_S_dodg_C1,WB,C1,dodg,F,HV,S,,,,,4/19/16,0.0266,,4/25/16,0.0642,,5/2/16,0.1701,,,,,5/10/16,0.323,11.27,4.8,,6/3/16,,
,FY1.4_HV_S_dodg_C1,WO,C1,dodg,F,HV,S,,,,,4/19/16,0.0259,,4/25/16,0.0613,,5/3/16,0.1808,,,,,5/13/16,0.281,10.75,4.45,,,,
X,FY1.5_HV_S_dodg_C1,,C1,dodg,,HV,S,,,,,4/19/16,0.0251,,4/25/16,0.0701,,,,,,,,,,,,,5/2/16,,
X,FY1.6_HV_S_dodg_C1,WG,C1,dodg,F,HV,S,,4/19/16,0.0254,,4/21/16,0.0441,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0643,,5/3/16,0.1851,,,,,5/14/16,0.3453,11.55,4.66,found as adult missing molt,5/23/16,,
,FY1.7_HV_S_dodg_C1,WP,C1,dodg,F,HV,S,,4/19/16,0.026,,4/25/16,0.081,,5/2/16,0.1442,,5/9/16,0.2508,"not adult, shifted left",,,,5/10/16,0.2891,11.31,4.37,,,,
X,FY1.8_HV_S_dodg_C1,GrR,C1,dodg,F,HV,S,,,,,4/19/16,0.0245,,4/25/16,0.0581,,5/2/16,0.1291,,,,,5/11/16,0.2129,9.56,4.27,,5/16/16,,
,FY1.9_HV_S_dodg_C1,GrY,C1,dodg,F,HV,S,,,,,4/19/16,0.0301,,4/24/16,0.0696,,4/30/16,0.1835,,,,,5/10/16,0.2942,11.5,5.03,,,,
,FY1.10_HV_S_dodg_C1,GrB,C1,dodg,M,HV,S,,4/19/16,0.0234,,4/21/16,0.0426,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0696,,5/2/16,0.0934,,,,,5/12/16,0.1874,10.4,3.63,,,,
X,FY1.11_HV_S_dodg_C1,,C1,dodg,,HV,S,,4/19/16,0.011,,4/12/16,0.0101,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,,,,,,,,,,,,,,,4/23/16,,
,FY1.12_HV_S_dodg_C1,GrO,C1,dodg,M,HV,S,,4/19/16,0.0195,,4/21/16,0.0333,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0465,,5/3/16,0.0891,,,,,5/13/16,0.1567,10.38,3.34,,,,
