Pod_ID,Species,Date,PBT,CTmin,CTmax,CTmin_max_Note
B1F7.28L,,2-Jun-15,41.96,5.83,54.8,low temp cut out; dead at CTmax
B1F7.28L,,2-Jun-15,40.76,5.83,54.8,low temp cut out; dead at CTmax
B1F7.28L,,2-Jun-15,28.6,5.83,54.8,low temp cut out; dead at CTmax
B1F7.28L,,2-Jun-15,41.22,5.83,54.8,low temp cut out; dead at CTmax
C1F19.28L,,2-Jun-15,42.72,8.61,-,dead
C1F19.28L,,2-Jun-15,41.08,5.83,54.8,low temp cut out; dead at CTmax
C1F19.28L,,2-Jun-15,40.2,6.25,-,dead
C1F19.28L,,2-Jun-15,42.62,5.83,54.8,low temp cut out; dead at CTmax
C1F19.28L,,2-Jun-15,42.92,5.83,54.8,low temp cut out; dead at CTmax
C1F19.28L,,2-Jun-15,25.72,5.83,54.8,low temp cut out; dead at CTmax
A1F7.28S,,3-Jun-15,NA,NA,NA,dead
C1F9.28L,,3-Jun-15,33.34,NA,NA,died before Ctmin/max
A1F2.28L,,3-Jun-15,39.8,5.91,54.8,died at CTmax
C1F28.28L,,3-Jun-15,42.94,5,54.8,died at CTmax
A1F2.28L,,3-Jun-15,30.02,5.91,54.8,died at CTmax
C1F9.28L,,3-Jun-15,36.32,5,54.8,died at CTmax
C1F28.28L,,3-Jun-15,41.06,5,54.8,died at CTmax
A1F2.28L,,3-Jun-15,27,5.91,54.8,died at CTmax
A1F2.28L,,3-Jun-15,41.52,13.8,54.8,no hind legs; died at CTmax
A1F8.28L,,3-Jun-15,27.5,NA,NA,died before Ctmin/max
A1F4.28S,,8-Jun-15,42.24,8.78,50.45,bath cut out at CTmin
C1F2.28S,,8-Jun-15,32.6,8.78,50.45,bath cut out at CTmin
C1F9.28L,,8-Jun-15,33.26,9.05,50.4,missing leg
A1F4.28S,,8-Jun-15,40.58,8.78,50.45,bath cut out at CTmin
A1F4.28S,,8-Jun-15,40.48,8.78,50.45,bath cut out at CTmin
C1F2.28S,,8-Jun-15,33.96,8.78,50.45,bath cut out at CTmin
C1F9.28L,,8-Jun-15,26.18,NA,NA,missing leg; died before CTmin
A1F4.28S,,8-Jun-15,33.02,8.78,50.45,bath cut out at CTmin
C1F2.28S,,8-Jun-15,42.34,8.78,54.2,bath cut out at CTmin
B1F1.28S,,8-Jun-15,31.22,8.78,51.8,bath cut out at CTmin
B1F19.28L,,8-Jun-15,38.22,8.78,50.43,bath cut out
A1F3.28S,,8-Jun-15,37.56,9.3,50,Missing leg
RRF1.28L,,8-Jun-15,39.72,8.78,50.45,bath cut out
A1F3.28S,,8-Jun-15,32.12,8.78,50.71,bath cut out
RRF1.28L,,8-Jun-15,29.96,8.78,50.45,bath cut out
A1F8.28S,,8-Jun-15,35.7,8.78,50.45,bath cut out
A1F3.28S,,8-Jun-15,34.98,8.78,50.45,bath cut out
