Individual,CCode,TprefBATCH,TprefLANE,Date,t_enter_grad,Gmin_START,Gmax_START,t_1,Tb_1,t_2,Tb_2,t_3,Tb_3,t_4,Tb_4,t_5,Tb_5,t_6,Tb_6,Gmin_END,Gmax_END,NOTES
F01B.5_LV_L_C1,WG,1,1,5/31/2016,1005,18.6,55.7,1055,39.5,1107,40.4,1117,41.3,1127,41.6,1137,35.2,1147,42.3,26.5,60.5,
F01B.1_LV_L_C1,WR,1,2,5/31/2016,1005,15.6,57.6,1056,36.5,1108,37.6,1117,35.5,1128,37.6,1137,37.2,1148,38.9,23.2,61.8,
F10.4_HV_L_A1,WO,1,3,5/31/2016,1005,11.8,63.2,1057,39.8,1110,40.5,1120,41.6,1130,31,1140,31.1,1149,31.8,19.7,65.8,
F49.2_HV_L_A1,WY,1,4,5/31/2016,1005,9.3,69.6,1058,40.4,1110,42.4,1120,42.5,1130,44.1,1140,43.2,1150,39.3,15.1,73.3,
F42.6_HV_L_A1,WP,1,5,5/31/2016,1005,7.8,63.4,1059,41.7,1111,41.9,1122,42.2,1132,43.1,1142,41.9,1152,45.4,14.3,77.7,
F20A.6_HV_S_A1,WP,1,6,5/31/2016,1005,7.2,75.2,1100,43.2,1111,41.3,1122,40.1,1132,43.9,1142,41.3,1152,40.4,12.2,79.5,
F9.1_HV_S_A1,WR,1,7,5/31/2016,1005,7.7,70.3,1101,42.4,1112,41.8,1123,40.2,1134,40.3,1144,39.2,1154,44.7,13,79.2,
F20A.12_HV_S_A1,GrP,,,,,,,,,,,,,,,,,,,,,died during acclimation period (was already looking bad)
F57A.1_LV_S_B1,WR,1,9,5/31/2016,1005,11.3,69.6,1103,39.2,1113,39.8,1123,43.3,1134,43.7,1144,42.7,1154,41.9,18.9,70,
F8A.2_LV_S_A1,WY,1,10,5/31/2016,1005,14.1,66.9,1104,40.1,1114,38.5,1124,38.7,1136,37.7,1146,39.8,1155,38.9,19.5,69.3,
F22.7_LV_S_A1,GrR,2,1,5/31/2016,1221,19.9,53.3,1306,42.9,1316,37.9,1326,44.3,1336,31.3,1346,38.5,1356,39.1,24.5,53.2,
F37.3_HV_S_A1,WB,2,2,5/31/2016,1221,20.2,55.4,1306,34.1,1316,39.2,1326,38.3,1336,38.5,1346,38.3,1356,39.7,24.6,52.5,
