Individual,Performance_Batch,CCode,Site,Species,sex,TEST_TEMP1,Y0_1,X0_1,Y1_1,X1_1,Y2_1,X2_1,Y3_1,X3_1,Y4_1,X4_1,Y5_1,X5_1,TEST_TEMP2,Y0_2,X0_2,Y1_2,X1_2,Y2_2,X2_2,Y3_2,X3_2,Y4_2,X4_2,Y5_2,X5_2,TEST_TEMP3,Y0_3,X0_3,Y1_3,X1_3,Y2_3,X2_3,Y3_3,X3_3,Y4_3,X4_3,Y5_3,X5_3,TEST_TEMP4,Y0_4,X0_4,Y1_4,X1_4,Y2_4,X2_4,Y3_4,X3_4,Y4_4,X4_4,Y5_4,X5_4,NOTES
F9.1_HV_S_A1,A,WR,A1,dodg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg missing
FY1.3_HV_S_C1,A,WB,C1,dodg,F,10,3_6,4_1,3_5,4_3,3_7,4_11,4_3,3_9,3_7,3_1,2_6,2_4,35,3_11,3_11,4_10,2_11,4_7,3_5,4_4,3_1,3_10,2_5,4_2,1_5,25,3_11,3_8,3_2,4_2,4_2,3_9,5_3,3_6,5_10,2_5,4_7,2_8,17,3_11,2_10,3_1,1_6,1_4,1_9,2_0,2_0,1_1,2_1,2_8,1_3,
FY1.4_HV_S_C1,B,WO,C1,dodg,F,25,4_1,3_8,3_9,2_11,3_8,1_9,3_9,1_8,4_3,1_8,4_6,1_9,17,4_4,4_0,4_0,4_2,3_10,4_6,4_10,4_6,4_10,5_0,4_6,5_6,10,4_0,3_9,4_3,3_9,4_2,4_1,3_6,3_6,2_0,4_0,2_7,3_7,35,4_2,2_4,4_0,2_5,3_7,2_2,2_11,2_3,2_8,2_3,2_6,2_10,
FY1.6_HV_S_C1,A,WG,C1,dodg,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1.7_HV_S_C1,B,WP,C1,dodg,F,25,3_9,4_1,4_0,4_8,5_0,6_0,4_4,5_4,4_7,3_9,4_9,4_4,17,3_8,3_9,1_11,2_3,1_3,4_4,1_4,5_5,1_5,4_5,1_2,4_10,10,4_4,3_4,4_3,3_2,4_6,2_5,4_6,2_8,4_10,3_5,5_2,3_4,35,3_5,3_3,4_9,3_5,5_6,4_9,5_9,4_1,5_6,4_1,5_5,3_11,
FY1.9_HV_S_C1,A,GrY,C1,dodg,F,10,3_3,4_4,3_1,4_4,2_7,4_3,2_3,4_9,2_6,4_7,1_8,4_8,35,4_0,4_10,3_3,5_3,4_0,4_11,2_3,5_5,0_11,4_11,1_6,4_10,25,4_5,3_9,2_11,4_4,3_4,3_8,2_9,3_4,2_6,3_7,2_1,4_2,17,4_3,3_3,3_11,2_9,3_8,2_8,1_7,2_6,2_2,1_2,3_6,0_10,
FY1.10_HV_S_C1,B,GrB,C1,dodg,M,25,4_6,4_2,4_4,6_9,5_2,6_6,5_6,5_5,3_6,5_3,3_10,2_10,17,3_8,4_2,3_7,4_1,2_8,3_0,3_8,2_2,5_2,2_5,5_2,2_10,10,3_4,3_0,3_3,2_9,4_6,2_6,4_1,3_2,3_10,2_9,3_8,3_1,35,3_11,3_8,5_11,6_10,4_2,2_7,2_1,3_0,3_5,4_5,3_2,4_3,
FY1.12_HV_S_C1,A,GrO,C1,dodg,M,10,2_11,4_2,1_3,4_4,1_8,4_1,1_7,4_11,1_5,5_2,0_11,5_10,35,1_0,5_8,2_6,4_2,2_3,4_8,2_2,5_9,2_9,6_5,1_7,6_1,25,3_7,2_6,5_3,3_2,4_10,5_2,3_11,4_5,5_7,1_11,3_8,1_0,17,3_5,3_1,2_9,2_10,1_4,1_7,1_0,3_6,1_6,3_3,2_5,4_11,
FY1.13_HV_S_C1,B,GrG,C1,dodg,M,25,3_6,3_6,3_0,2_6,4_0,2_0,5_7,2_3,3_5,2_6,3_10,2_5,17,3_8,4_8,3_10,4_8,4_3,4_6,3_9,3_11,2_8,4_1,0_10,1_4,10,3_7,3_10,3_9,3_2,3_0,1_10,1_4,0_6,1_7,0_8,3_0,0_0,35,3_11,1_5,3_11,2_6,1_0,2_10,1_3,2_7,1_6,2_4,2_7,2_3,
FY1.15_HV_S_C1,A,GrP,C1,dodg,F,10,4_0,4_2,4_0,3_11,4_8,3_7,5_2,3_6,5_7,3_2,5_8,3_6,35,3_8,4_11,3_11,4_10,4_7,3_8,4_10,2_9,4_8,2_4,5_6,2_10,25,3_6,2_6,3_6,1_2,3_8,1_4,3_9,1_6,3_11,1_6,4_5,0_10,17,4_3,3_2,3_8,2_6,3_5,3_11,3_7,2_10,5_0,3_0,4_8,1_9,
FY1.16_HV_S_C1,B,RY,C1,dodg,F,25,4_4,3_0,4_0,3_4,4_8,3_8,5_3,3_7,4_6,3_8,3_9,3_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg missing and dead at 2nd trial
F11.3_HV_S_B1,A,WB,B1,dodg,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leg missing and dead at 2nd trial
F11.4_HV_S_B1,B,WO,B1,dodg,F,25,3_9,3_8,5_4,5_1,3_8,5_8,3_1,3_9,4_9,5_2,2_6,4_1,17,3_10,4_10,1_8,4_6,0_6,4_0,2_7,4_1,1_7,5_6,2_4,4_0,10,4_4,3_8,4_5,2_4,6_3,2_10,5_9,2_2,5_3,0_10,3_8,1_6,35,3_8,3_3,3_5,4_0,4_8,1_11,3_7,3_3,4_2,1_0,3_5,3_3,
F11.6_HV_S_B1,A,WG,B1,dodg,F,10,3_4,3_11,3_0,3_3,3_7,2_7,3_4,2_4,2_11,2_0,2_8,3_10,35,3_6,4_2,3_10,3_8,3_0,3_8,2_6,3_5,2_1,3_7,2_5,2_8,25,4_8,2_2,3_10,2_6,4_9,2_4,4_5,3_2,4_6,2_6,4_11,2_7,17,3_5,3_8,4_1,3_5,5_1,3_8,4_8,2_11,3_2,2_5,4_3,2_10,
F11.7_HV_S_B1,B,WP,B1,dodg,F,25,4_7,3_10,3_3,3_6,3_0,2_6,3_7,2_6,3_4,3_2,3_5,4_8,17,3_5,4_11,2_11,5_0,4_2,5_3,5_0,3_10,4_9,2_5,5_0,3_7,10,3_7,2_10,3_0,3_3,3_5,3_6,3_0,2_6,2_1,2_2,1_9,3_4,35,3_9,3_6,3_8,3_6,3_0,3_4,3_9,3_0,3_2,2_9,3_10,2_9,
F11.8_HV_S_B1,A,GrR,B1,dodg,F,10,4_2,4_2,3_9,4_3,5_0,3_11,4_9,4_3,4_10,4_7,4_1,3_9,35,3_10,5_1,4_9,3_10,4_2,3_11,5_7,3_6,6_2,2_2,5_0,2_2,25,4_0,1_9,3_8,2_3,3_11,2_0,4_1,2_11,3_4,3_9,4_4,2_8,17,4_1,3_2,3_10,3_5,4_1,3_7,5_1,3_11,4_10,2_9,4_0,2_10,
F11.9_HV_S_B1,B,GrY,B1,dodg,M,25,4_3,3_10,3_11,4_4,2_3,5_11,3_8,6_3,1_7,5_3,3_6,6_9,17,3_5,5_0,5_0,4_1,3_5,5_1,1_2,5_9,2_5,3_11,3_2,1_9,10,4_0,3_8,3_11,3_8,4_0,3_1,4_9,2_10,4_4,3_0,4_3,2_0,35,4_9,3_1,3_7,2_7,3_4,1_0,2_7,2_7,1_4,1_1,2_7,2_8,
